no.,state,county,city,parcelNumber,propertyNumber,propertyClass,civicNumber,streetName,postalCode,yearOfConstructionMin,yearOfConstructionMax,yearOfConstruction,age,occupancy,description,style,finishAreaSqft,sizeSqft,crawlArea,slabArea,atticArea,bsmtArea,wallType,wallHeight,heatingArea,acArea,numOfFloors,buildingHeightAverage,numOfUnits,grossFloorArea,assessmentYear,buildingAssessedValueTotal,medianIncome,priceIncomeRatio,constructionType,heatType,numOfBedrooms,numOfLivingRooms,numOfDiningRooms,numOfFamilyRooms,numOfRoomsTotal,numOfFullBathTF,numOfHalfBathTF,numOfKitchenSinkTF,numOfWaterheatersTF,roofing,wallFinish,floorFinish,hasGarage,numOfGarage,garageType,garageAverageArea,garageConstructionSystem,hasDeck,deckConstructionType,deckAverageArea,hasPatio,patioConstructionType,patioAverageArea,hasBarn,barnConstructionType,barnAverageArea,hasShed,shedConstructionType,shedAverageArea,Link to Property Card,Archetype,Archetype_Name
53.0,IN ,Sullivan,Sullivan,77-10-03-221-008.001-011,11.11.00.002370,1 Family Dwell - Platted Lot,507.0,E Silver St,47882.0,1930,1950,1930,72,Single-Family,Single-Family 1,BUNGALOW,1378,2054,702,,,676.0,,,No,1378,1.0,,1.0,1378,2022.0,46000.0,,,Wood Frame,Central Warm Air,3.0,1.0,1.0,0.0,7.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,attached,288,,Yes,Wood,144,Yes,Concrete,54,No,,,No,,,Property Card,3,Large Older or Mixed-Use Buildings
22.0,IN,Sullivan,Sullivan,77-10-03-222-018.000-012,12.12.00.000226,Other Residential Structures,703.0,S State St,47882.0,1995,1995,1995,27,"Barn, Pole (T3)","Barn, Pole (T3) 1",,1' x 1' x 6',1' x 1' x 6',,,,,,,No,,1.0,,1.0,1' x 1' x 6',2022.0,3400.0,,,sv,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,,,,No,,,No,,,No,,,No,,,Property Card,0,Small Old Single-Family Homes
3.0,IN,Sullivan,Sullivan,77-07-28-443-014.000-012,12.12.00.002005,1 Family Dwell - Platted Lot,414.0,W Graysville St,47882.0,1930,1930,1930,92,Single-Family,Single-Family 1,BUNGALOW,1137,2648,1137,,,,,,No,1137,1.0,,1.0,1137,2022.0,80800.0,,,4/6 Masonry,Central Warm Air,2.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,detached,400,Wood Frame,No,,,Yes,Concrete,96,No,,,No,,,Property Card,3,Large Older or Mixed-Use Buildings
24.0,IN,Sullivan,Sullivan,77-10-03-222-016.000-012,12.12.00.002838,Mobile or Manufactured Home - Plat,709.0,S State St,47882.0,1967,1990,1967,55,Single-Family,Single-Family 1,SINGL-WIDE MFG H,672,672,,672.0,,,,,No,,1.0,,1.0,672,2022.0,8200.0,,,sv,Central Warm Air,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,,,,No,0.0,,,,No,,,Yes,Concrete,280,No,,,Yes,,100,Property Card,0,Small Old Single-Family Homes
84.0,IN ,Sullivan,Sullivan,77-10-03-222-010.000-012,12.12.00.001872,1 Family Dwell - Platted Lot,827.0,S State St,47882.0,1987,1999,1987,23, Single-Family, Single-Family,,3100,3100,,3100.0,,,,,No,,1.0,,1.0,,2022.0,69400.0,,,Wood Frame,Central Warm Air,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,,,,No,,,,,No,,,Yes,Concrete,112,No,,,Yes,,1,Property Card,0,Small Old Single-Family Homes
75.0,IN ,Sullivan,Sullivan,77-10-03-222-031.000-012,12.12.00.001589,1 Family Dwell - Platted Lot,805.0,S MAIN ST,47882.0,1930,1960,1930,62,Single-Family, Single-Family 1,BUNGALOW,1222,1222,1222,,,,,,No,,1.0,,1.0,,2022.0,41400.0,,,Wood Frame,Central Warm Air,2.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,Detached,576,Wood Frame,No,,,No,,,No,,,Yes,,288,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
83.0,IN ,Sullivan,Sullivan,77-10-03-222-011.000-012,12.12.00.000006, Vacant - Platted Lot,813.0,S State St,47882.0,,,,,,,,,,,,,,,,,,,,,,2022.0,5100.0,,,,,,,,,,,,,,,,,No,,,,,No,,,No,,,No,,,No,,,Property Card,2,Mobile or Manufactured Homes
21.0,IN,Sullivan,Sullivan,77-10-03-222-019.000-012,12.12.00.002294,1 Family Dwell - Platted Lot,201.0,E Silver St,47882.0,1965,1974,1965,57,Single-Family,Single-Family 1,TRI-LEVEL,928,928,928,,,,,,No,928,1.0,,1.0,928,2022.0,27700.0,,,Wood Frame,Central Warm Air,3.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,detached,256,Wood Frame,Yes,Wood,80,No,,,No,,,No,,,Property Card,3,Large Older or Mixed-Use Buildings
61.0,IN ,Sullivan,Sullivan,77-10-03-221-009.000-011,11.11.00.001550,1 Family Dwell - Platted Lot,86.0,S Co Rd 50 E,47882.0,1940,1980,1940,82,Single-Family,Single-Family 1,BUNGALOW,1860,1860,1860,,,,,,No,1860,1.0,,1.0,1860,2022.0,58200.0,,,Wood Frame,Central Warm Air,3.0,1.0,1.0,0.0,8.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,attached,672,,No,,,Yes,Concrete,400,No,,,Yes,,"100, 1, 1, 1",Property Card,3,Large Older or Mixed-Use Buildings
72.0,IN ,Sullivan,Sullivan,77-10-03-222-054.000-012,12.12.00.002120,1 Family Dwell - Platted Lot,808.0,S Main St,47882.0,1990,2002,1990,20,Single-Family,Single-Family ,CONVERSION,624,624,,624.0,,,,,,,1.0,,1.0,624,2022.0,24300.0,,,Wood Frame,Central Warm Air,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,,,,No,0.0,,,,No,,,No,,,No,,,No,,,Property Card,0,Small Old Single-Family Homes
15.0,IN,Sullivan,Sullivan,77-10-03-222-021.000-012,12.12.00.002918,1 Family Dwell - Platted Lot,708.0,S State St,47882.0,1986,2005,1986,36,Single-Family,Single-Family 1,BUNGALOW,1056,1056,1056,,,,,,No,1056,1.0,,1.0,1056,2022.0,29100.0,,,Wood Frame,Central Warm Air,2.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,1.0,Asphalt,,,No,0.0,,,,No,,,No,,,No,,,Yes,,"144, 64, 64",Property Card,1,Medium-Sized Post-1980 Single-Family Homes
52.0,IN,Sullivan,Sullivan,77-10-03-222-051.000-012,12.12.00.002657,1 Family Dwell - Platted Lot,726.0,S Main St,47882.0,1940,1993,1940,82,Single-Family,Single-Family 1,BUNGALOW,768,768,768,,,,,,No,768,1.0,,1.0,768,2022.0,20000.0,,,Wood Frame,,2.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,Asphalt,,,No,0.0,,,,No,,,No,,,No,,,Yes,Utility Shed 1,64,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
